Nome: PAULISTANA
Codigo Estacao: 82882
Latitude: -8.13222221
Longitude: -41.14305555
Altitude: 376
Situacao: Operante
Data Inicial: 1975-09-21
Data Final: 2020-12-31
Periodicidade da Medicao: Diaria

Data Medicao;INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
1975-09-21;null;0;27,6;null;null;null;null;1,2;
1975-09-22;11;null;33,3;26,96;20,7;42,5;27;7,833333;
1975-09-23;10,2;0;32,7;27,16;21,9;43;36;4,766667;
1975-09-24;9,8;0;36;29,08;22;36,5;25;4,966667;
1975-09-25;9;0;36,9;30,08;23,7;37,75;22;5,666667;
1975-09-26;6,9;0;32,8;27,92;23,9;47,5;40;3,2;
1975-09-27;10,3;0;32,5;27,06;22,1;43,25;48;5,433333;
1975-09-28;10,6;0;33,4;27,54;22,3;35,5;25;4,4;
1975-09-29;9,3;0;33,7;27,96;21,7;36;26;4,666667;
1975-09-30;11,1;0;34,5;27,92;21,6;43,75;34;5,133333;
1975-10-01;11,3;0;34,1;27,82;21,3;32,25;23;6,033333;
1975-10-02;11,2;0;34,5;27,96;21,7;30,5;22;4,533333;
1975-10-03;10,8;0;34,3;28;21,9;36;25;3,4;
1975-10-04;10,8;0;36,8;29,86;22,7;29;20;3,866667;
1975-10-05;9,1;0;35,2;28,76;23,7;41,25;27;2;
1975-10-06;8,4;0;35,4;29,3;23,7;38;26;4,8;
1975-10-07;11;0;35,1;29,48;23,4;36;28;4,566667;
1975-10-08;8,3;0;35,3;28,7;23,3;39,5;24;5,366667;
1975-10-09;9,6;0;36,2;28,76;23,6;42,5;25;2,066667;
1975-10-10;8;0;34,6;28,94;24,1;43,75;39;1,466667;
1975-10-11;9,7;,3;36,4;30,66;24,3;32;23;3,1;
1975-10-12;9,3;0;36,4;29,94;22,1;31,25;22;2,4;
1975-10-13;8,1;0;35,1;30,04;25,1;34,75;27;2,9;
1975-10-14;8,9;0;35,7;30,14;25,4;36;25;4,3;
1975-10-15;10,3;0;36;29,36;23,8;31;21;5,166667;
1975-10-16;11,1;0;37,3;30,56;24,5;29,75;20;2,966667;
1975-10-17;8,2;0;35,2;28,08;22,8;49,75;26;2,633333;
