Nome: PITANGUEIRAS(SV-BA)
Codigo Estacao: 83230
Latitude: -12.97
Longitude: -38.5
Altitude: 66
Situacao: Desativada
Data Inicial: 1961-01-01
Data Final: 1965-04-29
Periodicidade da Medicao: Diaria

Data Medicao;INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
1961-01-01;null;null;null;null;null;null;null;null;
1961-01-02;null;null;null;null;null;null;null;null;
1961-01-03;null;null;null;null;null;null;null;null;
1961-01-04;null;null;null;null;null;null;null;null;
1961-01-05;null;null;null;null;null;null;null;null;
1961-01-06;null;null;null;null;null;null;null;null;
1961-01-07;null;null;null;null;null;null;null;null;
1961-01-08;null;null;null;null;null;null;null;null;
1961-01-09;null;null;null;null;null;null;null;null;
1961-01-10;null;null;null;null;null;null;null;null;
1961-01-11;null;null;null;null;null;null;null;null;
1961-01-12;null;null;null;null;null;null;null;null;
1961-01-13;null;null;null;null;null;null;null;null;
1961-01-14;null;null;null;null;null;null;null;null;
1961-01-15;null;null;null;null;null;null;null;null;
1961-01-16;null;null;null;null;null;null;null;null;
1961-01-17;null;null;null;null;null;null;null;null;
1961-01-18;null;null;null;null;null;null;null;null;
1961-01-19;null;null;null;null;null;null;null;null;
1961-01-20;null;null;null;null;null;null;null;null;
1961-01-21;null;null;null;null;null;null;null;null;
1961-01-22;null;null;null;null;null;null;null;null;
1961-01-23;null;null;null;null;null;null;null;null;
1961-01-24;null;null;null;null;null;null;null;null;
1961-01-25;null;null;null;null;null;null;null;null;
1961-01-26;null;null;null;null;null;null;null;null;
1961-01-27;null;null;null;null;null;null;null;null;
1961-01-28;null;null;null;null;null;null;null;null;
1961-01-29;null;null;null;null;null;null;null;null;
1961-01-30;null;null;null;null;null;null;null;null;
1961-01-31;null;null;null;null;null;null;null;null;
1961-02-01;null;null;null;null;null;null;null;null;
1961-02-02;null;null;null;null;null;null;null;null;
1961-02-03;null;null;null;null;null;null;null;null;
1961-02-04;null;null;null;null;null;null;null;null;
1961-02-05;null;null;null;null;null;null;null;null;
1961-02-06;null;null;null;null;null;null;null;null;
1961-02-07;null;null;null;null;null;null;null;null;
1961-02-08;null;null;null;null;null;null;null;null;
1961-02-09;null;null;null;null;null;null;null;null;
1961-02-10;null;null;null;null;null;null;null;null;
1961-02-11;null;null;null;null;null;null;null;null;
1961-02-12;null;null;null;null;null;null;null;null;
1961-02-13;null;null;null;null;null;null;null;null;
1961-02-14;null;null;null;null;null;null;null;null;
1961-02-15;null;null;null;null;null;null;null;null;
1961-02-16;null;null;null;null;null;null;null;null;
1961-02-17;null;null;null;null;null;null;null;null;
1961-02-18;null;null;null;null;null;null;null;null;
1961-02-19;null;null;null;null;null;null;null;null;
1961-02-20;null;null;null;null;null;null;null;null;
1961-02-21;null;null;null;null;null;null;null;null;
1961-02-22;null;null;null;null;null;null;null;null;
1961-02-23;null;null;null;null;null;null;null;null;
1961-02-24;null;null;null;null;null;null;null;null;
1961-02-25;null;null;null;null;null;null;null;null;
1961-02-26;null;null;null;null;null;null;null;null;
1961-02-27;null;null;null;null;null;null;null;null;
1961-02-28;null;null;null;null;null;null;null;null;
1961-03-01;null;0;33,4;null;22,9;null;66;4;
1961-03-02;null;0;34,4;null;22,9;null;71;1;
1961-03-03;null;0;28,9;null;21,9;null;75;2;
1961-03-04;null;0;33,7;null;24,2;null;63;1;
1961-03-05;null;0;32;null;25,3;null;73;1;
1961-03-06;null;0;32,9;null;23,4;null;63;1;
1961-03-07;null;2;32,1;null;22,3;null;64;1;
1961-03-08;null;2;30,3;null;20,3;null;91;1;
1961-03-09;null;9,4;31,4;null;23,2;null;73;1;
1961-03-10;null;0;32,4;null;23,2;null;88;2;
1961-03-11;null;,8;32,3;null;23,3;null;65;2;
1961-03-12;null;0;33,4;null;22,3;null;70;1;
1961-03-13;null;0;33;null;22,4;null;59;2;
1961-03-14;null;0;32,2;null;22,4;null;64;0;
1961-03-15;null;1,2;32,3;null;23,2;null;77;2;
1961-03-16;null;,6;32,2;null;24;null;70;0;
1961-03-17;null;0;34,2;null;23,1;null;65;0;
1961-03-18;null;0;33,2;null;23,2;null;63;0;
1961-03-19;null;0;33,1;null;23,2;null;65;0;
1961-03-20;null;0;33,3;null;23,2;null;60;2;
1961-03-21;null;,4;32,2;null;24,2;null;83;0;
1961-03-22;null;7,4;32,4;null;23,2;null;76;2;
1961-03-23;null;17,8;31,9;null;23,2;null;76;6;
1961-03-24;null;1;31,2;null;23,9;null;75;4;
1961-03-25;null;1,4;31,2;null;23,3;null;70;2;
1961-03-26;null;6,8;31,2;null;22,4;null;82;2;
1961-03-27;null;15,8;28,9;null;22,8;null;78;0;
1961-03-28;null;0;30,4;null;23,2;null;66;2;
1961-03-29;null;29,8;28,8;null;22;null;60;4;
1961-03-30;null;5,2;27;null;22;null;83;2;
1961-03-31;null;5,8;26;null;22,3;null;91;2;
1961-04-01;null;7;28,2;null;22,3;null;92;4;
1961-04-02;null;17,2;28;null;23,1;null;94;0;
1961-04-03;null;16,4;29,1;null;23,3;null;89;0;
1961-04-04;null;,2;30,8;null;21,6;null;75;4;
1961-04-05;null;0;31,2;null;23,1;null;71;2;
1961-04-06;null;1,2;31,2;null;22,9;null;87;2;
1961-04-07;null;2;30;null;22,2;null;76;0;
1961-04-08;null;8,8;30,4;null;22,4;null;83;2;
1961-04-09;null;2;29,2;null;23,3;null;83;2;
1961-04-10;null;2,8;29,3;null;23,3;null;80;2;
1961-04-11;null;8,4;30,6;null;22,9;null;85;4;
1961-04-12;null;0;30,2;null;23,9;null;78;2;
1961-04-13;null;1,6;30;null;24;null;84;2;
1961-04-14;null;25,8;29;null;23;null;83;2;
1961-04-15;null;7,4;29;null;22,4;null;83;2;
1961-04-16;null;0;29,4;null;23,3;null;82;2;
1961-04-17;null;11,4;30,2;null;23;null;89;1;
1961-04-18;null;,6;29,4;null;23,4;null;78;2;
