Nome: SAO BENTO
Codigo Estacao: 82279
Latitude: -2.67999999
Longitude: -44.71999999
Altitude: 10
Situacao: Desativada
Data Inicial: 1961-01-01
Data Final: 1963-12-30
Periodicidade da Medicao: Diaria

Data Medicao;INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
1961-01-01;null;null;31,6;26,62;22,8;74,5;58;2;
1961-01-02;null;0;32,1;26,44;22,1;79,5;63;1,333333;
1961-01-03;null;0;31,9;26,4;22,4;81,25;64;1;
1961-01-04;null;0;32,2;26,44;21,1;77,5;58;1,333333;
1961-01-05;null;0;32,2;26,62;22,8;78,5;58;2;
1961-01-06;null;0;32;26,62;22,1;77,5;58;1,333333;
1961-01-07;null;0;32,1;27,18;23,2;75;59;3;
1961-01-08;null;0;32,4;27,02;22,9;76,75;59;3,333333;
1961-01-09;null;0;32,1;27,02;23,8;78,75;64;3,333333;
1961-01-10;null;0;32;27,1;23,2;76,25;63;4,333333;
1961-01-11;null;0;32,2;26,98;23,1;76,75;58;2,666667;
1961-01-12;null;0;32,8;27,32;23,7;76,5;61;2;
1961-01-13;null;0;32,4;27,52;23,8;76,75;70;1;
1961-01-14;null;0;32,9;27,48;23,8;74,5;55;3;
1961-01-15;null;0;32,8;27,46;24,1;74,25;54;4,333333;
1961-01-16;null;3;32,1;26,6;23,8;83,5;64;1;
1961-01-17;null;29,6;25,6;23,18;20;97,25;89;0;
1961-01-18;null;18,4;30;25,8;22,6;87,75;70;,333333;
1961-01-19;null;1,2;31,4;26,18;23,2;82,25;63;0;
1961-01-20;null;7,5;30,5;26;23,2;86;71;1,666667;
1961-01-21;null;14,7;30,4;26,18;23,2;83,75;68;1,333333;
1961-01-22;null;5,2;27,4;24,1;22;94,5;90;0;
1961-01-23;null;34,7;29,6;24,92;21,3;88,5;75;0;
1961-01-24;null;1,4;31,2;26,06;22,2;82,75;69;,666667;
1961-01-25;null;17,2;30,2;25,86;23,8;87,25;69;,333333;
1961-01-26;null;10,7;31,6;26,16;23,2;84,25;61;1;
1961-01-27;null;0;28,2;25,54;22,9;89,5;80;1;
1961-01-28;null;58;30,4;25,78;23,6;91;82;1;
1961-01-29;null;29;32;26,98;23,6;81;55;,333333;
1961-01-30;null;0;31,8;26,74;23,6;79,75;60;,333333;
1961-01-31;null;0;32,4;26,84;22,6;78;59;,333333;
1961-02-01;null;1,8;31,2;25,66;23,6;88,25;63;0;
1961-02-02;null;15,3;30,4;26,06;22,2;81,5;68;1,333333;
1961-02-03;null;18,2;29,9;25,48;23,4;90,75;76;1;
1961-02-04;null;33,2;28;24,9;22,1;88;83;1,333333;
1961-02-05;null;,8;30,1;25,98;22,6;84,75;78;1;
1961-02-06;null;34,8;26,1;24,02;22,2;94,75;85;0;
1961-02-07;null;53,8;27,6;24,52;21,2;90,25;84;,333333;
1961-02-08;null;0;30,6;26,3;22,6;80,75;65;1,333333;
1961-02-09;null;5,2;30,4;26,38;22,8;83,25;77;1,333333;
1961-02-10;null;10,2;27,9;25,36;23,1;91,25;81;1;
1961-02-11;null;52,5;28,9;24,16;21;96,25;92;,333333;
1961-02-12;null;19,2;27,1;23,94;22,2;93,25;87;,333333;
1961-02-13;null;0;29,2;24,62;21,8;95,5;86;0;
1961-02-14;null;27,7;30,1;24,96;20,8;86,75;70;,333333;
1961-02-15;null;,3;31,2;26,28;22,9;82,5;66;0;
1961-02-16;null;9,2;28,9;24,42;22,2;89;76;0;
1961-02-17;null;27,1;29;24,1;21,2;91,5;73;0;
1961-02-18;null;50,4;30,4;25,74;22,3;89,75;81;,333333;
1961-02-19;null;53,7;27,4;25,02;23,6;91;83;0;
1961-02-20;null;6,5;30,4;25,54;22,4;87,25;70;0;
1961-02-21;null;20,8;31;25,94;23,1;87;66;,333333;
1961-02-22;null;0;29;24,98;23;89,25;78;0;
1961-02-23;null;30;30,4;25,6;23,2;86,5;64;,333333;
1961-02-24;null;10,2;30,4;26,66;23,6;79;66;2,333333;
1961-02-25;null;0;31,6;27,2;23,3;83,5;75;2;
1961-02-26;null;0;31,4;26,46;24,1;85,75;63;1;
1961-02-27;null;8,6;30,2;25,32;22,9;89;73;2;
1961-02-28;null;0;31,2;26,64;22,2;80,5;73;1,333333;
1961-03-01;null;1,8;30,1;25,94;24;92;84;0;
1961-03-02;null;0;30,7;26,54;23,3;84,75;73;1,666667;
1961-03-03;null;0;31,9;27,28;24,2;80;60;1,666667;
1961-03-04;null;0;31,9;27,48;24,4;80;62;1,333333;
1961-03-05;null;0;32,4;27,8;24,9;74,75;58;3;
1961-03-06;null;0;32,1;27,66;24,1;74,75;65;2,333333;
1961-03-07;null;0;32,4;27,4;23,9;78,75;62;,333333;
1961-03-08;null;0;32,9;27,5;23,3;76;54;1;
1961-03-09;null;0;32,8;27,24;23,4;81,5;63;1,333333;
1961-03-10;null;0;32,9;27,74;24,4;77,75;57;2;
1961-03-11;null;0;32,4;26,76;24,2;86,5;73;0;
1961-03-12;null;6;31,1;26,64;23,1;83,5;75;1,333333;
1961-03-13;null;7,9;30,1;25,32;22,6;88;75;0;
1961-03-14;null;,9;31,1;25,76;23,1;90,25;83;2,333333;
1961-03-15;null;31,2;28,7;25,82;22,9;84,75;72;1,333333;
1961-03-16;null;0;31,6;26,98;23,6;81;63;,666667;
1961-03-17;null;0;32;27,48;24,2;79,5;66;2,333333;
1961-03-18;null;66,2;30,1;25,66;22,4;88,25;71;,333333;
1961-03-19;null;,5;29,5;25,96;23,6;86,5;70;,333333;
1961-03-20;null;36,6;26,7;24,48;22,2;95,5;92;,333333;
1961-03-21;null;2,8;30,6;25,68;22,9;87,25;70;1;
1961-03-22;null;4,2;31,4;26,18;23;82,75;58;1;
1961-03-23;null;8,3;31,9;26,32;23,6;83,75;67;1;
1961-03-24;null;1,6;31,9;26,84;23,3;83,75;64;1,333333;
1961-03-25;null;1,8;32;26,92;23,4;82,25;65;,333333;
1961-03-26;null;0;28,9;26,3;24;91,25;80;0;
1961-03-27;null;36,4;26,8;24,22;22,6;94;85;0;
1961-03-28;null;0;31,9;26,74;22,6;82,25;61;,333333;
1961-03-29;null;50;31,5;26,14;22,6;86,75;67;,333333;
1961-03-30;null;61,4;30,4;26,04;22,2;86,25;80;0;
1961-03-31;null;5,4;29,8;25,96;23,6;88,75;78;1;
1961-04-01;null;62,2;29,1;25,4;22,8;92,75;83;,333333;
1961-04-02;null;31,8;29,9;25,44;22,6;90;78;0;
1961-04-03;null;10,4;31,1;26,36;23,4;86,5;66;0;
1961-04-04;null;23,5;31,1;26,74;23,5;80,5;66;1;
1961-04-05;null;5;29,9;25,74;22,3;88,25;74;0;
1961-04-06;null;39,1;30,1;26,12;22,7;93,25;92;0;
1961-04-07;null;23,2;31,8;27,58;24,4;80,25;66;,333333;
1961-04-08;null;53,3;30,2;26;22,7;90,5;78;,333333;
1961-04-09;null;20,6;28,1;24,6;22;92,75;90;1;
1961-04-10;null;,9;30,2;26,32;22,9;81,75;67;0;
