Nome: ALTO PARNAIBA
Codigo Estacao: 82970
Latitude: -9.10833333
Longitude: -45.9486111
Altitude: 285.05
Situacao: Fechada
Data Inicial: 1976-08-20
Data Final: 2020-12-31
Periodicidade da Medicao: Diaria

Data Medicao;INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
1976-08-20;null;null;null;null;null;null;null;null;
1976-08-21;null;null;null;null;null;null;null;null;
1976-08-22;null;null;null;null;null;null;null;null;
1976-08-23;null;null;null;null;null;null;null;null;
1976-08-24;null;null;null;null;null;null;null;null;
1976-08-25;null;null;null;null;null;null;null;null;
1976-08-26;null;null;null;null;null;null;null;null;
1976-08-27;null;null;null;null;null;null;null;null;
1976-08-28;null;null;null;null;null;null;null;null;
1976-08-29;null;null;null;null;null;null;null;null;
1976-08-30;null;null;null;null;null;null;null;null;
1976-08-31;null;null;null;null;null;null;null;null;
1976-09-01;10;null;34,1;23,12;14,4;52;28;2,9;
1976-09-02;11,2;0;34,6;20,5;null;49;24;2,1;
1976-09-03;10,7;0;35,8;24,06;14;47,25;20;2,233333;
1976-09-04;10,6;0;34,5;24,36;16,6;49;30;1,9;
1976-09-05;10,6;0;36;24,04;14,1;52;26;1,8;
1976-09-06;9,5;0;35,8;24,84;16,1;52,25;28;1,7;
1976-09-07;9,2;0;35,4;25,2;16,3;53,75;30;1,6;
1976-09-08;10;0;36;27,5;20;55,25;33;1,433333;
1976-09-09;7,5;0;32,6;25,56;19,9;75,5;56;1,966667;
1976-09-10;7,4;,8;34;20,7;null;73,75;39;2;
1976-09-11;7,4;2,3;33,4;24,52;18,8;76,5;54;1,366667;
1976-09-12;9,7;5,5;35,2;21,3;null;74,75;40;1,3;
1976-09-13;10,9;11,5;35,3;24,96;19,6;66,25;26;1,366667;
1976-09-14;10;0;35,4;27,34;18,2;50,75;30;1,1;
1976-09-15;10,6;0;35,7;25,2;18,2;58,5;26;1,633333;
1976-09-16;8,8;0;35,3;25,46;18;58,5;30;1,2;
1976-09-17;10,9;0;36,6;25,94;20;46,25;20;1,966667;
1976-09-18;10,2;0;35,5;24,7;15,7;56;28;1,566667;
1976-09-19;9;0;35,4;26,42;18;51,25;27;1,7;
1976-09-20;6,7;0;33,2;25,5;20;66,5;42;1,1;
1976-09-21;10,5;0;36,5;26,2;17,9;40,75;19;2;
1976-09-22;10,5;0;35,6;24,48;14,6;49;24;1,1;
1976-09-23;1,7;0;32,6;26,08;19,1;58,25;48;1;
1976-09-24;1,9;0;31,8;25,78;22,2;70,5;49;2,733333;
1976-09-25;3,2;,8;30,2;23,86;20,1;74;49;,866667;
1976-09-26;5;0;32;25,56;19,2;71;55;2,366667;
1976-09-27;2,8;0;32;20,9;null;84,25;65;1,133333;
1976-09-28;7,9;,8;34,9;26,08;18,4;66,25;39;1,166667;
1976-09-29;,8;0;30,3;24,72;20,2;86,5;71;,766667;
1976-09-30;6,5;29,4;32,9;26,16;21,3;69,25;50;1,5;
1976-10-01;1,3;1,4;29,5;19,6;null;91,25;74;,766667;
