Nome: CARACOL
Codigo Estacao: 82976
Latitude: -9.28583333
Longitude: -43.32444443
Altitude: 515.3
Situacao: Fechada
Data Inicial: 1975-10-02
Data Final: 2020-12-31
Periodicidade da Medicao: Diaria

Data Medicao;INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
1975-10-02;null;null;null;null;null;null;null;null;
1975-10-03;11,5;null;35,4;25,6;18,4;34,25;20;2,866667;
1975-10-04;9,5;0;35,8;25,08;11,2;35,25;22;2,133333;
1975-10-05;10,8;0;35;25,02;12,2;38;26;3,733333;
1975-10-06;11,2;0;34,8;24,88;11,4;41,25;30;3,2;
1975-10-07;9,6;0;35,4;27,96;18,4;37;31;2,066667;
1975-10-08;11,1;0;34,4;26,16;15,6;40,75;29;2,866667;
1975-10-09;8,9;0;33,8;26,48;18;45,5;32;3,466667;
1975-10-10;5,6;0;32,8;26,12;20,8;56,25;35;3,033333;
1975-10-11;7,7;0;34,4;26;18,6;59,25;30;2,966667;
1975-10-12;4,9;1;32,2;23,84;19,6;81,5;72;2,133333;
1975-10-13;3,5;4,6;31;23,6;18,8;73,5;44;1,3;
1975-10-14;4,6;,5;32,8;25,76;18,8;58,5;40;2,633333;
1975-10-15;10,7;0;34;26,44;18,6;48,25;32;2,3;
1975-10-16;7;0;34;26,56;18,4;43,75;27;2,533333;
1975-10-17;7,5;0;33,2;27,04;20,6;53;42;5;
1975-10-18;8;3,5;34,4;26,2;19,4;56,5;30;1,466667;
1975-10-19;,1;11,7;28;23,78;20,2;78,25;59;1,166667;
1975-10-20;5,7;0;31,8;25,12;19,8;79,5;64;,933333;
1975-10-21;0;28,4;25;22,68;19,8;86,75;88;1,833333;
1975-10-22;9,6;,5;33,8;25,34;18,4;65,75;35;1,766667;
1975-10-23;4,7;19,6;31,8;24,94;20,7;78,75;69;3,2;
1975-10-24;11,3;0;32,6;25,34;18,8;64,75;37;1,966667;
1975-10-25;9,8;0;32,6;24,96;18,2;58;40;3,2;
1975-10-26;11,5;0;33,2;25,32;17,6;53,5;33;2,9;
1975-10-27;7,7;0;33,8;23,76;12,4;63,5;35;1,066667;
1975-10-28;2,4;1,7;26,8;23,7;19,6;79,5;65;2,433333;
1975-10-29;7;0;31;26,08;20;66,25;61;3,566667;
1975-10-30;10,1;0;30,9;25,1;20;64,25;44;1,933333;
1975-10-31;5;0;31,4;25,44;20;65;44;1,933333;
1975-11-01;0;1,1;25,4;19,76;10,4;96,75;73;,966667;
1975-11-02;,6;20,7;25,8;21,32;18,4;89,5;73;1,933333;
1975-11-03;7,4;2,1;31,4;23,72;17,4;75,75;50;1,566667;
1975-11-04;7;0;32,8;25,24;20,2;76,25;64;1,466667;
1975-11-05;11,2;0;31,2;26,12;19,6;48,5;40;3,8;
1975-11-06;11,6;0;31;23,08;17,2;68,5;43;2,8;
1975-11-07;11,2;0;32,2;25,8;16,8;51;41;2,9;
1975-11-08;11;0;33,4;26,08;18,4;53,25;38;3,033333;
1975-11-09;9,4;0;33,2;25,36;20,2;61,25;39;2,533333;
1975-11-10;10,6;0;33;25,44;19,4;67,75;42;1,733333;
1975-11-11;8,5;0;33,6;25,16;19,2;62,75;36;1,233333;
1975-11-12;9,7;0;34;26,52;21,2;59,25;38;1,3;
1975-11-13;10,6;0;34;26,96;20,8;57;36;2,4;
1975-11-14;10,8;0;33,6;25,96;19,6;63,25;36;1,9;
1975-11-15;11,7;0;32;24,48;19;58,75;37;3,4;
1975-11-16;8,4;0;31,4;24,32;17,4;55,75;38;2,7;
1975-11-17;9,5;0;31,8;26,04;19,2;48,25;34;3,266667;
1975-11-18;11,1;0;33;24,44;17,6;52,75;32;3,733333;
1975-11-19;8,4;0;32,2;24,96;16,4;52,5;42;3,666667;
1975-11-20;11,9;0;34;24;12,8;43,5;21;3,533333;
1975-11-21;11,1;0;34,6;25,44;17,6;49;28;2,9;
1975-11-22;11,6;0;35,2;27,4;19,4;45,25;31;2,3;
1975-11-23;8,2;0;34,4;27,2;21;55;31;3,366667;
1975-11-24;6,5;0;33,8;25,76;21,8;62,75;32;2,3;
1975-11-25;2,5;0;32;25,24;20,2;60,5;38;1,433333;
1975-11-26;7,8;0;33,8;26,32;19;56,25;34;3,533333;
1975-11-27;10,5;0;33;24,56;18,8;70;37;3,4;
1975-11-28;0;14,6;23,8;21,52;19,4;91,5;83;,866667;
1975-11-29;6,2;0;31;24,6;19,8;68;48;2,8;
1975-11-30;2,7;5;31,4;24,48;19,8;72,5;45;2,366667;
1975-12-01;10,4;0;33,8;25,64;19,6;64,75;35;2,3;
1975-12-02;5,3;0;32,8;25,6;21,4;66;41;1,766667;
1975-12-03;0;4,7;27,4;23;19,6;71,75;57;2,033333;
1975-12-04;5,9;0;30,6;23,76;18,6;71,5;53;1,766667;
1975-12-05;6,9;0;31,6;24,84;20,4;68,5;43;3;
1975-12-06;5,4;0;32,4;25,24;20,4;72,75;52;3,7;
1975-12-07;2,8;27,1;27,2;22,84;19,8;84,75;72;1,966667;
1975-12-08;10,8;0;32,2;24,32;20;69,25;39;2,866667;
1975-12-09;11,4;0;32,8;24,24;18;55,5;32;2,533333;
1975-12-10;10;0;31,8;24,84;18,6;59;42;2,333333;
1975-12-11;11;0;34,8;26,88;20,2;52,75;34;2,433333;
1975-12-12;11,6;0;33;26,04;20,6;55,75;38;2,566667;
1975-12-13;8,3;0;33,4;26,12;20,6;60,5;34;3,1;
1975-12-14;3;0;32;24,08;20;76;60;2,5;
1975-12-15;1,5;0;29,8;23,6;20,2;86,25;69;1,033333;
1975-12-16;2,8;18,3;28,4;23,04;20,4;83,75;65;1,433333;
1975-12-17;10,7;0;32,6;24,08;19,2;61;31;3,533333;
1975-12-18;4,9;0;31,6;25,4;20,2;63,25;42;2,433333;
1975-12-19;9,7;0;33,2;25,36;21,2;58,5;38;1,766667;
1975-12-20;10,6;0;33;26,36;20,2;53;37;2,233333;
1975-12-21;10;0;34,2;26,68;19,8;50,5;32;2,566667;
1975-12-22;9,9;0;34,6;27,12;19,2;50,25;32;3,366667;
1975-12-23;2,5;0;27,2;23,56;20,8;83,25;58;2,466667;
1975-12-24;3,3;16,5;29,2;24;20,4;84,75;81;2,166667;
1975-12-25;1,9;20,1;28,2;23,06;20,2;88;73;1;
1975-12-26;10,8;2,5;32;25,24;21,2;66,75;41;2,166667;
