Nome: RIO REAL
Codigo Estacao: 83194
Latitude: -11.48
Longitude: -37.93
Altitude: 163
Situacao: Desativada
Data Inicial: 1961-01-01
Data Final: 1963-12-30
Periodicidade da Medicao: Diaria

Data Medicao;INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
1961-01-01;null;null;31,6;24,8;20,2;72,5;43;3,666667;
1961-01-02;null;0;30,8;24,28;18,4;69,25;47;3,666667;
1961-01-03;null;0;32;24,96;18;71;47;3;
1961-01-04;null;0;32,6;25,96;21;70,25;49;3,333333;
1961-01-05;null;0;32;25,64;21,2;71,25;46;4;
1961-01-06;null;0;31,8;25,16;20,2;69,75;45;3,333333;
1961-01-07;null;0;32,8;25,68;20,4;73,25;47;2,333333;
1961-01-08;null;0;32,4;26;21,6;70,25;47;3,333333;
1961-01-09;null;0;32,2;25,72;20,6;69,5;45;2,666667;
1961-01-10;null;0;32,2;25,6;20,4;71;44;3;
1961-01-11;null;0;32;25,84;21,2;74;55;4,333333;
1961-01-12;null;0;31,8;25,92;21,4;71,5;48;4,333333;
1961-01-13;null;0;31,6;25,36;21,2;72,25;48;2,666667;
1961-01-14;null;0;30,8;24,88;20;73;53;4;
1961-01-15;null;0;31,2;24,96;20,2;73,75;49;3,666667;
1961-01-16;null;0;27,1;23,7;21,4;89,75;82;3;
1961-01-17;null;22,2;25,4;23,04;21,6;96;95;2;
1961-01-18;null;11;29,8;24,92;21,6;76;52;2,333333;
1961-01-19;null;0;29,8;24,76;20,6;78;57;3;
1961-01-20;null;0;28,8;24,36;20,4;79,25;61;,866667;
1961-01-21;null;0;29,8;24,68;20;78;61;1,666667;
1961-01-22;null;0;29,4;24,88;22,2;85,5;73;1;
1961-01-23;null;1;29,6;24,72;21,4;93;83;,666667;
1961-01-24;null;65,6;30,6;25,2;20,8;79;59;2;
1961-01-25;null;0;30,6;24,72;20,8;81,75;65;1,666667;
1961-01-26;null;0;31,4;25,32;20,4;77,75;58;2,333333;
1961-01-27;null;0;30,2;25,48;22;83;67;3,666667;
