Nome: CORRENTE
Codigo Estacao: A374
Latitude: -10.42916666
Longitude: -45.17305554
Altitude: 452
Situacao: Operante
Data Inicial: 2018-03-27
Data Final: 2020-12-31
Periodicidade da Medicao: Horaria

Data Medicao;Hora Medicao;PRECIPITACAO TOTAL, HORARIO(mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA(mB);PRESSAO ATMOSFERICA REDUZIDA NIVEL DO MAR, AUT(mB);PRESSAO ATMOSFERICA MAX.NA HORA ANT. (AUT)(mB);PRESSAO ATMOSFERICA MIN. NA HORA ANT. (AUT)(mB);RADIACAO GLOBAL(Kj/m²);TEMPERATURA DA CPU DA ESTACAO(°C);TEMPERATURA DO AR - BULBO SECO, HORARIA(°C);TEMPERATURA DO PONTO DE ORVALHO(°C);TEMPERATURA MAXIMA NA HORA ANT. (AUT)(°C);TEMPERATURA MINIMA NA HORA ANT. (AUT)(°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT)(°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT)(°C);TENSAO DA BATERIA DA ESTACAO(V);UMIDADE REL. MAX. NA HORA ANT. (AUT)(%);UMIDADE REL. MIN. NA HORA ANT. (AUT)(%);UMIDADE RELATIVA DO AR, HORARIA(%);VENTO, DIRECAO HORARIA (gr)(° (gr));VENTO, RAJADA MAXIMA(m/s);VENTO, VELOCIDADE HORARIA(m/s);
2018-03-27;0000;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2018-03-27;0100;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2018-03-27;0200;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2018-03-27;0300;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2018-03-27;0400;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2018-03-27;0500;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2018-03-27;0600;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2018-03-27;0700;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2018-03-27;0800;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2018-03-27;0900;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2018-03-27;1000;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2018-03-27;1100;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2018-03-27;1200;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2018-03-27;1300;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2018-03-27;1400;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2018-03-27;1500;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2018-03-27;1600;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2018-03-27;1700;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2018-03-27;1800;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2018-03-27;1900;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2018-03-27;2000;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2018-03-27;2100;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2018-03-27;2200;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2018-03-27;2300;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2018-03-28;0000;0;960,2;1011,867443;960,2;959,9;null;25;22,6;21,5;23,1;22,6;22;21,5;12,5;94;93;93;161;1,1;,3;
2018-03-28;0100;0;960,6;1012,378818;960,6;960,2;null;24;22,1;21,2;22,7;22,1;21,5;21;12,5;95;93;94;87;,9;,5;
2018-03-28;0200;0;960,7;1012,592455;960,8;960,6;null;24;21,5;20,7;22,2;21,5;21,3;20,7;12,5;95;94;95;210;,7;,3;
2018-03-28;0300;0;960,6;1012,541342;960,8;960,6;null;23;21,2;20,5;21,6;21,1;20,9;20,4;12,5;96;95;96;346;,9;,5;
2018-03-28;0400;0;960,6;1012,468983;960,7;960,4;null;23;21,6;20,9;21,6;21,1;20,9;20,4;12,5;96;96;96;54;1,7;,9;
2018-03-28;0500;0;960,1;1011,923936;960,6;960,1;null;23;21,7;20,9;21,9;21,5;21,1;20,7;12,5;96;94;95;4;1,7;,8;
2018-03-28;0600;0;959,9;1011,713141;960,1;959,9;null;23;21,7;21;21,8;21,5;21;20,7;12,5;96;95;96;113;1,4;,8;
2018-03-28;0700;0;960,1;1011,923936;960,1;959,9;null;23;21,7;21;21,7;21,6;21;20,7;12,4;96;95;95;80;1,4;,7;
2018-03-28;0800;0;960,4;1012,204059;960,4;960,1;null;23;21,9;21,1;21,9;21,7;21,2;21;12,4;96;95;95;115;1;,4;
2018-03-28;0900;0;961,2;1013,210062;961,2;960,4;null;23;21;20,2;21,9;21;21,2;20,2;12,4;96;95;96;96;1,4;,8;
2018-03-28;1000;0;961,6;1013,432721;961,6;961,2;null;22;22,1;20,4;22,1;20,9;21;20,2;12,9;96;90;90;142;1,6;,7;
2018-03-28;1100;0;962,3;1013,6527;962,3;961,7;456,221;25;25;19,3;25,1;22,2;20,6;19,2;13,5;90;70;70;107;4,6;1,8;
2018-03-28;1200;0;962,5;1013,722328;962,5;962,3;1983,219;28;25,8;19,1;25,9;24,8;19,7;18,5;13,7;72;65;67;78;7,4;3,3;
2018-03-28;1300;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2018-03-28;1400;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
