Nome: URUCUI
Codigo Estacao: 82771
Latitude: -7.22999999
Longitude: -44.55
Altitude: 190
Situacao: Desativada
Data Inicial: 1978-08-10
Data Final: 1985-12-31
Periodicidade da Medicao: Diaria

Data Medicao;INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
1978-08-10;10,5;0;35,4;26,5;18,1;52,5;31;1,933333;
1978-08-11;10,9;0;35,4;26,48;18,5;51,75;28;2,366667;
1978-08-12;10,8;0;35,7;27,18;22,6;48,75;26;2;
1978-08-13;10,7;0;35,6;26,18;18,4;45,25;26;2,133333;
1978-08-14;10,6;0;36,3;25,5;17;48,5;25;1,733333;
1978-08-15;10;0;34,6;26,04;18;56,25;37;1,666667;
1978-08-16;10,2;0;35,2;27;20,4;50,75;30;2,5;
1978-08-17;10,8;0;34,9;26,32;19;46;29;2,733333;
1978-08-18;9,4;0;34,2;27,16;21,3;50,75;35;2,866667;
1978-08-19;10;0;33,6;26,86;22,8;50,25;34;3,033333;
1978-08-20;9,4;0;33,1;26,64;21,7;45,25;32;2,9;
1978-08-21;10,9;0;34,2;25,64;19,9;47,75;27;1,766667;
1978-08-22;10,9;0;34,9;25,66;16,2;45,75;26;2,7;
1978-08-23;10,4;0;35,5;26,66;18,1;50,5;29;2,533333;
1978-08-24;10,7;0;35,5;26,54;18,6;50,5;28;2,433333;
1978-08-25;10,1;0;35,8;26,88;18,8;47,25;29;3,166667;
1978-08-26;10,9;0;34,6;26,52;18,8;43,75;28;3,2;
1978-08-27;10,8;0;36,1;25,82;17,4;45,25;22;1,9;
1978-08-28;10,9;0;35,8;26,48;16,8;48;28;2,066667;
1978-08-29;11;0;35,8;27,44;19,7;53,75;33;1,633333;
1978-08-30;10,9;0;35,7;28,44;21,1;51;36;1,266667;
1978-08-31;10,6;0;35,8;28,08;21,3;54,25;34;1,9;
1978-09-01;10;0;34,4;28,1;21,4;57,75;42;1,766667;
1978-09-02;9,7;0;35,2;27,44;20,3;51,5;32;1,866667;
1978-09-03;10,7;0;34,9;26,86;20,8;48;26;2,3;
1978-09-04;10,6;0;35,1;26,54;19,5;45,5;30;2,666667;
1978-09-05;10,7;0;35,9;27,24;19,2;46,25;28;3,166667;
1978-09-06;10,7;0;35,8;28,3;21,5;51,25;34;1,433333;
1978-09-07;10,5;0;35,3;28,64;23;52,75;37;2,233333;
1978-09-08;7,4;0;34,3;27,92;21,6;57,75;40;1,966667;
1978-09-09;8,2;0;34,9;27,68;22,2;58,75;38;2,3;
1978-09-10;5;0;33,4;27,7;23,1;59,75;47;1,466667;
1978-09-11;10;0;35,1;28,34;21,6;58;40;1,066667;
1978-09-12;9,7;0;36;28,68;26,1;46,25;25;1,933333;
1978-09-13;9,9;0;35,5;27,16;19,6;42,75;30;2,266667;
1978-09-14;10,3;0;36,1;27,3;18,3;43;29;2,633333;
1978-09-15;10,9;0;36,4;29,52;23,2;33,25;25;4;
1978-09-16;10,9;0;36;28,12;23,3;46,75;28;2,733333;
1978-09-17;10,8;0;34,8;28,02;22,4;46,5;35;3,1;
1978-09-18;10,2;0;35,8;28,62;22,7;47,75;33;3,133333;
1978-09-19;10,7;0;37,3;29,22;23,1;44,25;26;2,2;
1978-09-20;9,8;0;34,9;28,22;21,9;48,5;34;2,366667;
1978-09-21;9,9;0;35,7;28,34;22,6;46,25;32;2,766667;
1978-09-22;10,6;0;36,4;29,08;23,5;42,75;25;3,3;
1978-09-23;3,3;0;35,2;26,58;21,6;74,5;36;1,6;
1978-09-24;10,5;0;35,2;28,36;23,9;51,5;35;2,533333;
1978-09-25;10,8;0;34,6;28,2;22,3;51,5;36;3,166667;
1978-09-26;10,9;0;36;28,66;24;48,5;32;3;
1978-09-27;10,3;0;35,1;28,56;24,9;50,5;33;3,266667;
1978-09-28;10,5;0;36,2;27,62;16,8;42;28;2,6;
