Nome: ARAGUAINA
Codigo Estacao: 82659
Latitude: -7.10388888
Longitude: -48.20138888
Altitude: 231.85
Situacao: Operante
Data Inicial: 1984-08-20
Data Final: 2020-12-31
Periodicidade da Medicao: Diaria

Data Medicao;INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
1984-08-20;null;null;null;null;null;null;null;null;
1984-08-21;10,1;0;34,2;24,44;15,2;null;null;2;
1984-08-22;8,8;0;34,5;25,2;16,7;null;null;1,333333;
1984-08-23;9,1;0;34,5;25,34;16,7;null;null;1;
1984-08-24;8,7;0;34,6;25,78;18,7;null;null;3,333333;
1984-08-25;7,8;0;35,9;26,12;18,3;null;null;2,666667;
1984-08-26;4;0;34,2;26,72;22,4;null;null;2,666667;
1984-08-27;3,6;0;31,9;25,16;21,5;null;null;2;
1984-08-28;0;0;29,6;23,96;19,2;null;null;2,666667;
1984-08-29;5,7;0;34,9;25,24;19,2;null;null;4;
1984-08-30;6,2;0;30,4;24,54;19,6;null;null;2,666667;
1984-08-31;,8;0;28,4;23,5;18,9;null;null;1,333333;
1984-09-01;3,6;0;31,1;23,98;19,6;null;null;1,333333;
1984-09-02;3,1;1,4;31,7;25,2;20,9;null;null;2,666667;
1984-09-03;5,3;0;33,7;25,08;20,7;null;null;2,333333;
1984-09-04;4,5;0;31,3;25,26;20,3;null;null;4,666667;
1984-09-05;9,7;0;34,2;25,48;18,4;null;null;3,333333;
1984-09-06;2,9;0;30;24,1;18;null;null;2;
1984-09-07;6,2;0;33,9;25,04;18,4;null;null;3;
1984-09-08;6,6;0;34,4;25,88;18,4;null;null;3,666667;
1984-09-09;6,9;,2;34,8;25,6;16,4;null;null;3;
1984-09-10;6,5;0;34,4;25,32;16,8;null;null;5;
1984-09-11;1,2;0;34,4;24,74;20,7;null;null;2;
1984-09-12;3,6;66,7;34,1;24,48;20,5;null;null;3,666667;
1984-09-13;8;0;33,7;26,54;21,2;null;null;2;
1984-09-14;7,4;0;37,4;25,98;18,8;null;null;1,666667;
1984-09-15;6,6;0;35,6;25,92;18,6;null;null;4,333333;
1984-09-16;6,7;0;35,6;25,56;19,6;null;null;1,666667;
1984-09-17;4,8;15;32,1;24,94;20,1;null;null;1,333333;
1984-09-18;5,7;0;32,5;24,96;20,7;null;null;1,333333;
1984-09-19;7,2;0;33,1;25,48;21,1;null;null;3;
1984-09-20;8,1;0;34,4;25,98;18,8;null;null;1,666667;
1984-09-21;2,3;0;32,7;24,72;20,7;null;null;2;
1984-09-22;4,8;25,8;31,7;24,4;21,3;null;null;1,666667;
1984-09-23;9,4;,2;34,1;26,22;19,2;null;null;1,4;
1984-09-24;7,5;,2;34,1;25,54;18,8;null;null;1,466667;
1984-09-25;7;0;33,9;25,98;19,4;null;null;1,5;
1984-09-26;6,6;0;33,3;25,66;19,2;null;null;2;
1984-09-27;6,1;0;34,1;25,98;19,6;null;null;,666667;
1984-09-28;5,8;0;32,7;25,38;19,4;null;null;2;
1984-09-29;3,6;0;31,5;24,1;19;null;null;,733333;
1984-09-30;7,3;1,5;34,4;26,3;20,3;null;null;2,666667;
1984-10-01;4,8;0;32,3;25,64;21,3;null;null;1,733333;
1984-10-02;2,4;0;31,1;25,04;20,7;null;null;1,5;
1984-10-03;4,5;0;32,1;24,06;18,6;null;null;1,166667;
1984-10-04;10,2;0;34,1;26,32;22,9;null;null;,633333;
1984-10-05;9,3;0;null;null;17,8;null;null;,566667;
1984-10-06;6;0;null;null;19,8;null;null;2;
