Nome: SAO FELIX DO PIAUI
Codigo Estacao: 82669
Latitude: -5.8
Longitude: -42.16999999
Altitude: 184
Situacao: Desativada
Data Inicial: 1976-02-29
Data Final: 1983-12-31
Periodicidade da Medicao: Diaria

Data Medicao;INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
1976-02-29;null;null;null;null;null;null;null;null;
1976-03-01;null;null;null;null;null;null;null;null;
1976-03-02;null;null;null;null;null;null;null;null;
1976-03-03;null;null;null;null;null;null;null;null;
1976-03-04;null;null;null;null;null;null;null;null;
1976-03-05;null;null;null;null;null;null;null;null;
1976-03-06;null;null;null;null;null;null;null;null;
1976-03-07;null;null;null;null;null;null;null;null;
1976-03-08;null;null;null;null;null;null;null;null;
1976-03-09;null;null;null;null;null;null;null;null;
1976-03-10;null;null;null;null;null;null;null;null;
1976-03-11;null;null;null;null;null;null;null;null;
1976-03-12;null;null;null;null;null;null;null;null;
1976-03-13;null;null;null;null;null;null;null;null;
1976-03-14;null;null;null;null;null;null;null;null;
1976-03-15;null;null;null;null;null;null;null;null;
1976-03-16;null;null;null;null;null;null;null;null;
1976-03-17;null;null;null;null;null;null;null;null;
1976-03-18;null;null;null;null;null;null;null;null;
1976-03-19;null;null;null;null;null;null;null;null;
1976-03-20;null;null;null;null;null;null;null;null;
1976-03-21;null;null;null;null;null;null;null;null;
1976-03-22;null;null;null;null;null;null;null;null;
1976-03-23;null;null;null;null;null;null;null;null;
1976-03-24;null;null;null;null;null;null;null;null;
1976-03-25;null;null;null;null;null;null;null;null;
1976-03-26;null;null;null;null;null;null;null;null;
1976-03-27;null;null;null;null;null;null;null;null;
1976-03-28;null;null;null;null;null;null;null;null;
1976-03-29;null;null;null;null;null;null;null;null;
1976-03-30;null;null;null;null;null;null;null;null;
1976-03-31;null;null;null;null;null;null;null;null;
1976-04-01;4,4;null;31,3;25,64;22,2;81,25;63;1,6;
1976-04-02;4,3;2,5;30,4;25,42;22,3;87,75;76;1,333333;
1976-04-03;7,7;4,1;32,4;25,9;22,4;82,25;58;1,833333;
1976-04-04;3,2;18;29;25,34;22,5;81,5;72;1,6;
1976-04-05;10,9;2,6;32,1;26,18;21,4;77,5;61;1,9;
1976-04-06;9,7;0;31,6;25,6;21,9;79,75;55;1,233333;
1976-04-07;8,8;0;31,4;26,2;22,3;80,5;62;1,033333;
1976-04-08;9,5;,2;32,1;26,28;22,3;78,5;58;1,466667;
1976-04-09;10,7;0;31,9;26,42;22,4;80,5;60;1,6;
1976-04-10;9,1;,8;32,7;25,96;22,2;80;55;1,066667;
1976-04-11;9,9;,8;31,7;25,36;21,4;81,25;59;1,266667;
1976-04-12;6,5;0;31,1;26,18;21,7;80,5;62;2,1;
1976-04-13;9,4;0;32,1;25,62;21,6;78;51;1,333333;
1976-04-14;6,1;0;30,3;25,74;21,6;82;73;1,266667;
1976-04-15;2,9;15,2;28;23,24;21,2;89;71;1,766667;
1976-04-16;10,7;26;31,2;24,78;21,3;80,5;52;1,366667;
1976-04-17;8;0;31,6;25,46;20,5;78,75;53;1,466667;
1976-04-18;6;0;30,7;21,2;null;79,5;56;1,266667;
1976-04-19;10,2;0;31,7;26,54;21,8;75,5;53;1,933333;
1976-04-20;,9;4;29;25,22;23,3;81,5;60;1,233333;
1976-04-21;10,5;0;32,7;26,44;21,6;76,75;58;2,166667;
1976-04-22;10,7;0;32,4;26,62;21,7;76;52;1,5;
1976-04-23;8,7;0;31,5;25,72;22,5;79;62;1,4;
1976-04-24;8;0;32,4;25,88;21,3;77,5;51;1,433333;
1976-04-25;10,7;0;32,5;25,92;21,1;70,25;46;2,266667;
1976-04-26;10,5;0;32,3;24,96;19,4;75,5;49;,966667;
1976-04-27;11,2;0;32,5;25,16;19;69,5;45;1;
1976-04-28;10,9;0;32,9;25,56;19,7;74,25;48;,7;
1976-04-29;8,5;0;31,6;25,02;19,6;74;53;1,966667;
1976-04-30;11;0;33,4;25,22;17,6;64,5;38;,666667;
1976-05-01;10,1;0;32,8;26,16;20,3;72,5;48;1,033333;
1976-05-02;6,8;0;31,8;26,04;21,3;76;54;1,1;
1976-05-03;7,7;,2;32,6;26,04;21,6;73,75;46;1,633333;
1976-05-04;5,8;2;31,8;25,86;21,9;82,5;72;1,333333;
1976-05-05;8,1;0;32,1;26,5;21,7;73;55;1,266667;
