Nome: PEDRO AFONSO
Codigo Estacao: 82863
Latitude: -8.9686111
Longitude: -48.17722221
Altitude: 189.53
Situacao: Operante
Data Inicial: 1977-03-03
Data Final: 2020-12-31
Periodicidade da Medicao: Diaria

Data Medicao;INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
1977-03-03;null;null;null;null;null;null;null;null;
1977-03-04;2,9;null;29,6;24,52;22,8;94,5;89;0;
1977-03-05;4,4;1,8;29;24,68;22;92,25;90;0;
1977-03-06;7,7;5,9;30,2;25,64;22,6;87,25;73;0;
1977-03-07;7,6;0;32,4;26,36;22,6;82;65;,666667;
1977-03-08;8,8;0;33;25,84;23,2;85;64;0;
1977-03-09;7;0;30,6;26,2;22,2;83,75;69;0;
1977-03-10;3,8;0;27;26;23;83;90;0;
1977-03-11;4,7;14;29,6;25,2;22;88,5;69;0;
1977-03-12;6,5;0;31,8;25,72;22,8;89,5;70;0;
1977-03-13;6,5;14,6;30,2;25,68;22,4;86,25;69;0;
1977-03-14;6,9;0;29,6;24,96;23;88,5;75;,666667;
1977-03-15;7;3,5;30,2;24,88;22,2;88,25;73;0;
1977-03-16;9,5;0;31,6;26,12;21,2;83;73;0;
1977-03-17;7,2;2,9;31,4;27,32;23,2;82,5;71;0;
1977-03-18;6,6;0;31,6;25,16;22,4;84,75;63;0;
1977-03-19;5;2,2;31,6;24,84;21,4;90,25;71;0;
1977-03-20;4,8;18,3;30,4;24,72;22,4;89,25;71;0;
1977-03-21;3,5;28,2;30;24,76;22,6;91,5;84;,333333;
1977-03-22;7;0;28,8;24,64;21,6;88,5;73;0;
1977-03-23;9,2;6;33;26;22,2;87;64;0;
1977-03-24;6,3;,5;31,8;26,84;22,6;87,5;69;0;
1977-03-25;3,9;0;27,6;25,32;23,6;90;77;1;
1977-03-26;10,2;0;33,4;27,2;22;82,25;62;0;
1977-03-27;3,8;0;29,2;25,76;23,2;90,25;83;0;
1977-03-28;8,9;4,9;33,2;25,56;23;87,25;70;,666667;
1977-03-29;4,7;24,3;29,8;25,8;22,2;92,25;83;0;
1977-03-30;9;0;33;27,88;24;82,75;64;0;
1977-03-31;,3;1,2;27,8;23,96;22,4;94,75;89;1;
1977-04-01;1,4;13,2;29,8;24,24;22;96,25;92;0;
1977-04-02;8,3;25,3;28,2;25,08;22,2;92,5;86;0;
1977-04-03;6,4;25;28,8;24,28;20,6;91,5;90;,666667;
1977-04-04;4,8;,6;30,2;24,32;21,8;89,5;76;0;
1977-04-05;5,8;64,4;30;25,12;21,6;89,25;76;0;
1977-04-06;6,4;0;31;26,4;22,8;87;70;0;
1977-04-07;6,1;0;30,6;25,88;23,4;89,5;74;0;
1977-04-08;3,1;,3;28;25,08;22,4;94;89;0;
1977-04-09;3,7;15,3;28,8;25,2;22,2;92;80;0;
1977-04-10;9,2;,3;32,8;27;23;94,25;95;0;
1977-04-11;10,2;0;33,4;27,56;23;91,25;89;0;
1977-04-12;8,7;0;33,8;27,18;23,4;83,5;65;0;
1977-04-13;4,1;0;29,2;26,52;25,4;90,25;86;1,333333;
1977-04-14;6,4;0;32,4;26,36;22,4;86,25;69;,666667;
1977-04-15;6,9;0;31,8;26,98;23,3;87;68;0;
1977-04-16;10;0;32,8;27,12;23;81,75;65;,666667;
1977-04-17;9,9;0;33,6;26,84;21,8;91;77;0;
1977-04-18;9,8;0;33,4;28,08;23,2;85,5;69;0;
1977-04-19;0;17,6;25,4;23,96;23;96,25;93;,666667;
1977-04-20;6,9;0;32;26,24;22,4;91,75;80;0;
1977-04-21;,6;8,6;26;23,88;22,6;97,5;95;0;
1977-04-22;7,4;8;31,8;26,24;22;88,25;80;0;
1977-04-23;0;0;28;26,32;22,2;78,5;89;0;
1977-04-24;6,1;9,8;30;25,68;22,4;95;62;0;
1977-04-25;6,9;1,7;30,8;25,72;23,4;92,75;80;,666667;
1977-04-26;0;58;27,4;24,12;22;97;92;0;
1977-04-27;,5;17,2;30,2;24,96;22,6;97,25;95;,666667;
1977-04-28;1,5;4,6;27;24,32;23,2;95,5;88;0;
1977-04-29;2,1;63,1;28,4;24,88;22,8;92,75;82;0;
1977-04-30;3,9;30,6;27,4;23,96;21,6;96,75;93;,666667;
1977-05-01;,3;18,6;35,6;25,92;22,2;96,5;90;0;
1977-05-02;1,4;1,6;24,8;23,56;22,6;98,25;98;1;
1977-05-03;8,3;7,5;30,4;25,32;21,6;85,25;52;,666667;
1977-05-04;9;0;32,4;26,32;22,2;92;77;0;
