Nome: PALMAS
Codigo Estacao: 83033
Latitude: -10.14777777
Longitude: -48.31444444
Altitude: 267
Situacao: Operante
Data Inicial: 1993-10-07
Data Final: 2020-12-31
Periodicidade da Medicao: Diaria

Data Medicao;INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
1993-10-07;null;null;null;null;null;null;null;null;
1993-10-08;null;null;null;null;null;null;null;null;
1993-10-09;null;null;null;null;null;null;null;null;
1993-10-10;null;null;null;null;null;null;null;null;
1993-10-11;null;null;null;null;null;null;null;null;
1993-10-12;null;null;null;null;null;null;null;null;
1993-10-13;null;null;null;null;null;null;null;null;
1993-10-14;null;null;null;null;null;null;null;null;
1993-10-15;null;null;null;null;null;null;null;null;
1993-10-16;null;null;null;null;null;null;null;null;
1993-10-17;null;null;null;null;null;null;null;null;
1993-10-18;null;null;null;null;null;null;null;null;
1993-10-19;null;null;null;null;null;null;null;null;
1993-10-20;null;null;null;null;null;null;null;null;
1993-10-21;null;null;null;null;null;null;null;null;
1993-10-22;null;null;null;null;null;null;null;null;
1993-10-23;null;null;null;null;null;null;null;null;
1993-10-24;null;null;null;null;null;null;null;null;
1993-10-25;null;null;null;null;null;null;null;null;
1993-10-26;null;null;null;null;null;null;null;null;
1993-10-27;null;null;null;null;null;null;null;null;
1993-10-28;null;null;null;null;null;null;null;null;
1993-10-29;null;null;null;null;null;null;null;null;
1993-10-30;null;null;null;null;null;null;null;null;
1993-10-31;null;null;null;null;null;null;null;null;
1993-11-01;10,4;null;36;28,44;22,7;63,5;34;null;
1993-11-02;10,9;0;35,9;29,5;23,1;61;33;null;
1993-11-03;6,2;0;35,6;27,96;24,5;80,25;65;null;
1993-11-04;1,8;3,8;30,8;25,84;22,9;79,5;81;null;
1993-11-05;4,2;2,5;30,7;25,1;22,1;78,25;54;null;
1993-11-06;2,9;1,1;31,8;26,32;22,9;83,75;63;null;
1993-11-07;4,7;,9;31,6;25,48;22,5;90;71;null;
1993-11-08;7,6;9,3;34;25,88;20,5;78;48;null;
1993-11-09;10;0;34,9;27,02;20,1;73;40;null;
1993-11-10;10,3;3;33,5;26,9;22,5;70,25;44;null;
1993-11-11;10,8;0;38,6;27,6;21,1;50;26;null;
1993-11-12;11,3;0;35,3;27,34;20;54,5;37;null;
1993-11-13;9,9;0;null;28,3;21,9;57,25;36;null;
1993-11-14;9,6;0;36,7;29,04;22;55;33;null;
1993-11-15;9,3;0;null;27,22;24,5;51,5;24;null;
1993-11-16;7,2;0;35,4;26,9;22,9;87,75;60;null;
1993-11-17;null;3,6;34,1;27;21,8;80,5;53;null;
1993-11-18;5,5;0;39;28,02;23,7;77,5;49;null;
1993-11-19;3;1,1;27,2;25,24;23,2;87,5;81;null;
1993-11-20;5,8;,3;null;25,18;23,3;85,5;70;null;
1993-11-21;5;0;39,3;27,68;23,4;78;68;null;
1993-11-22;0;0;28,1;24,44;22,6;86;72;null;
1993-11-23;4,6;1,9;31,9;25,4;21,9;82,75;64;null;
1993-11-24;4,3;1;null;19,64;23;null;68;null;
1993-11-25;1,6;null;33;27,08;25,6;81,75;69;null;
1993-11-26;7,3;0;32,4;26,46;21,7;78,75;60;null;
1993-11-27;null;2,2;27,5;24,38;22,7;91;80;null;
1993-11-28;7,1;,2;32,6;26,42;22,7;78,25;53;null;
1993-11-29;null;0;null;null;23;null;70;null;
1993-11-30;null;null;null;null;null;null;null;null;
1993-12-01;null;null;null;null;null;null;null;null;
1993-12-02;null;null;null;null;null;null;null;null;
1993-12-03;11,6;null;35,3;28,58;24;66,25;39;null;
1993-12-04;null;0;34,8;28,04;22,9;69,25;45;null;
1993-12-05;9,6;0;33,3;28,32;24;68,5;55;null;
1993-12-06;2,9;3;31,8;25,44;23,3;85,5;65;null;
1993-12-07;2,2;16;30;24,8;22,5;92,5;86;null;
1993-12-08;8,3;44;32,3;26,76;22;76,25;56;null;
1993-12-09;,6;0;31,8;25,96;24;83,75;75;null;
1993-12-10;4,9;0;30,8;26,44;22,5;79,75;64;null;
1993-12-11;3,2;1;31,8;27,98;23,5;78,75;72;null;
1993-12-12;9,6;,4;34,4;27,32;22,9;64;41;null;
1993-12-13;7,7;0;33;26,1;23,3;78;49;null;
1993-12-14;4,7;17;32,5;25,66;21,9;82,25;63;null;
1993-12-15;3,1;0;32;26,24;23;76,5;55;null;
1993-12-16;2,7;0;null;null;23;null;69;null;
1993-12-17;8,1;null;38,8;27,16;23;79;51;null;
1993-12-18;1,3;1;31;26,52;23,6;84;71;null;
1993-12-19;1,1;2,2;30,6;25,6;23,2;84,25;61;null;
1993-12-20;1,3;28;27,1;23,4;21,7;90,25;82;null;
1993-12-21;5,7;2;31;25,44;21,8;85;61;null;
1993-12-22;10,8;0;31,8;25,4;21,9;85;64;null;
1993-12-23;,8;25;29,4;26,08;22,3;70,75;66;null;
1993-12-24;0;50;27,4;23;19,7;89,25;62;null;
1993-12-25;3,4;3;30,6;24,34;21,5;87,75;74;null;
1993-12-26;0;16;26,1;24,1;21,8;88,5;81;null;
1993-12-27;2,8;0;30,9;25,1;21,5;80,5;53;null;
1993-12-28;,2;0;35,8;26,1;21,5;91,5;86;null;
1993-12-29;5,8;1,1;32;25,7;21,1;79,5;56;null;
1993-12-30;5;0;33,3;27,76;23,5;78,5;70;null;
1993-12-31;0;12;32;25,68;23,1;88;77;null;
1994-01-01;null;0;34,2;27,94;22;64,5;53;null;
1994-01-02;7,1;,1;32,8;27,06;22;75;55;null;
1994-01-03;7,3;0;32,3;26,66;23,5;76,25;54;null;
1994-01-04;8,8;0;32,1;27,48;23,5;74,25;64;null;
1994-01-05;0;,5;27,2;24,16;22,3;92,75;79;null;
1994-01-06;2,3;4,5;30,3;25,46;22,1;84,25;69;null;
1994-01-07;0;,3;28,3;24,8;23,6;87,75;71;null;
1994-01-08;3,8;0;31,8;24,56;22,1;84,5;58;null;
1994-01-09;null;2,3;null;null;null;81,75;62;null;
1994-01-10;1,2;0;29,3;25,58;21,1;87,25;81;null;
1994-01-11;4,3;0;30,3;27,22;23,9;67;72;null;
1994-01-12;3,6;3;32,1;26,22;21,5;78,25;56;null;
1994-01-13;6;0;31,8;25,18;22,7;78,5;54;null;
1994-01-14;null;2,1;27,8;23,88;21,7;94;87;null;
1994-01-15;null;,5;27,7;24,12;21,6;88;72;null;
1994-01-16;null;,2;31,1;25,76;22,6;84,25;63;null;
1994-01-17;6;0;29,1;24,24;21,7;85,75;63;null;
1994-01-18;2,2;0;32,9;25,94;21,7;82;69;null;
1994-01-19;3,9;,1;31,6;26,86;24;82,25;66;null;
1994-01-20;8,7;,3;32;27,2;23,3;82,5;74;null;
1994-01-21;7,7;3,1;32,1;27;22,9;83;86;null;
1994-01-22;0;4,4;31,6;24,98;20,5;86,75;69;null;
1994-01-23;5,7;0;32,2;25,62;20,6;84,25;66;null;
1994-01-24;null;0;32,2;26,18;23;85,5;84;null;
1994-01-25;null;7,5;31,4;25,56;23,5;92,25;84;null;
1994-01-26;null;,4;30,3;25,76;22;89,5;84;null;
1994-01-27;null;37,4;31,5;25,34;22,5;85,75;60;null;
1994-01-28;null;1,3;33,7;25,14;21,5;84,25;58;null;
1994-01-29;null;17,6;31,1;25,6;22,1;88;85;null;
1994-01-30;null;,5;30,8;25,82;22,6;86;82;null;
1994-01-31;null;,1;28,9;24,9;22,6;88,75;75;null;
1994-02-01;null;,3;31,4;27,32;22,9;63,25;57;null;
1994-02-02;null;0;32,6;26,22;23,3;77,25;49;null;
1994-02-03;null;0;32,1;26,22;22,9;87,5;78;null;
1994-02-04;null;,2;30,6;25,26;22,9;null;86;null;
1994-02-05;null;null;null;null;null;92;80;null;
1994-02-06;null;,9;30,6;25,1;22,4;85,25;65;null;
1994-02-07;null;5,8;30,8;25,02;21,4;84,75;64;null;
1994-02-08;null;0;30,8;25,58;22,4;82;74;null;
1994-02-09;null;0;30,6;24,94;21;83,25;80;null;
1994-02-10;null;,5;32,2;25,98;22,1;69;55;null;
1994-02-11;null;0;30,2;25,16;22,1;91,75;68;null;
1994-02-12;null;1;29,3;24,76;21,7;86,5;79;null;
1994-02-13;null;9,1;32,5;25,38;21,1;77,5;43;null;
1994-02-14;null;25,5;null;null;21,2;null;75;null;
1994-02-15;null;null;null;null;null;null;null;null;
1994-02-16;null;null;null;null;null;null;null;null;
1994-02-17;null;null;null;null;null;null;null;null;
1994-02-18;null;null;null;null;null;null;null;null;
1994-02-19;null;null;null;null;null;null;null;null;
1994-02-20;null;null;null;null;null;null;null;null;
1994-02-21;null;null;null;null;null;null;null;null;
1994-02-22;null;null;null;null;null;null;null;null;
1994-02-23;null;null;null;null;null;null;null;null;
1994-02-24;null;1,2;30,8;25,6;23,5;78,25;60;null;
1994-02-25;null;,6;28,8;25,32;22,5;84,75;72;null;
1994-02-26;null;11,7;32,1;25,06;22,5;87,25;67;null;
1994-02-27;null;8,5;30,8;25,62;22;85,75;71;null;
1994-02-28;null;4,8;30,4;25,7;22,4;88,5;77;null;
1994-03-01;4;2,6;29,2;25,46;22,9;87,5;74;null;
1994-03-02;1,2;0;29,2;25,12;23,6;89,25;86;null;
1994-03-03;1,7;0;31,3;25,62;22,9;85,25;79;null;
