Nome: PORTO NACIONAL
Codigo Estacao: 83064
Latitude: -10.71083333
Longitude: -48.40638888
Altitude: 243.28
Situacao: Operante
Data Inicial: 1961-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Diaria

Data Medicao;INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
1961-01-01;5,6;null;30,4;24,72;21;90;81;0;
1961-01-02;8,6;0;32,2;25,86;20,9;80,75;68;1;
1961-01-03;3,4;56,2;30,8;24,76;20;88;71;0;
1961-01-04;6,7;43,2;29,8;24,2;19,4;86;71;4;
1961-01-05;5,2;,2;30,6;25;20,8;84,5;71;0;
1961-01-06;5,2;0;32;25,34;21,5;84;66;0;
1961-01-07;7,3;2,3;32,2;26,62;21,5;81,25;67;1;
1961-01-08;1,2;21,2;28,2;24,78;20,9;90;77;3;
1961-01-09;5,5;0;31,2;24,74;20,3;88,75;77;,333333;
1961-01-10;10,2;2;32,6;24,62;20,3;86,75;62;3;
1961-01-11;6,2;18;30;24,7;20,1;92,25;87;1,666667;
1961-01-12;1,6;1;28,2;22,34;19,1;92,75;91;2;
1961-01-13;2,1;41;28,4;23,78;18,1;86,25;77;2,666667;
1961-01-14;3,1;1,5;30;24,02;20,3;89,75;76;1;
1961-01-15;4,8;68;30,8;24,78;19,1;87,25;71;,333333;
1961-01-16;5,5;0;31,2;25,18;20,7;83;66;3,666667;
1961-01-17;7,9;18,6;29,7;24,42;19;79,5;71;1,333333;
1961-01-18;7,9;0;31;25,3;19,7;78,25;62;0;
1961-01-19;10,8;0;33;24,88;20,5;81,25;54;1;
1961-01-20;6,2;8;31,6;25,28;19,8;89,25;86;,333333;
1961-01-21;7,3;5,4;32,6;25,56;20,6;83,75;60;,666667;
1961-01-22;0;17;25,2;22,98;20,3;96,5;92;2,666667;
1961-01-23;3,3;14,3;28,8;25,1;20,5;85,75;75;1;
1961-01-24;,4;,2;29,2;24,78;21,9;88,5;77;1,666667;
1961-01-25;5,2;0;31;24,74;20,3;91,25;82;1;
1961-01-26;4,1;,2;31;25,26;21,3;87,5;67;2;
1961-01-27;4,1;1,9;29,6;25,18;20,5;87,5;77;1,666667;
1961-01-28;,2;,1;26,8;23,26;20,9;94;92;,666667;
1961-01-29;5,2;3;31,4;24,98;20,1;83,5;62;2;
1961-01-30;6,8;1;32,2;25,82;21,1;84,5;75;,666667;
1961-01-31;3,2;1,2;30,8;25,24;21,4;92;89;1;
1961-02-01;9,8;12,8;33;26,78;20,9;78,25;61;0;
1961-02-02;9,1;0;32,8;26,22;20,9;78,5;54;1;
1961-02-03;6,5;1;32,2;25,8;20,6;83,75;65;0;
1961-02-04;6,3;,5;30,8;26,08;21;81,25;65;0;
1961-02-05;1,3;0;28,8;24,56;20,2;91,25;88;,666667;
1961-02-06;4,5;8,5;28,2;22,48;19,1;91,5;81;1,333333;
1961-02-07;5,9;11,2;30,6;24,24;18,6;86;67;,333333;
1961-02-08;8,9;2,4;31,6;24,28;18,6;82;65;,666667;
1961-02-09;8,9;46;32,4;24,92;18,6;81,25;56;0;
1961-02-10;1,1;,8;27,8;24,12;19,8;88,25;82;1,333333;
1961-02-11;2;15,9;29,6;24,32;19,6;93;88;,333333;
1961-02-12;2,7;2,9;26;23,08;20,4;86,5;77;2;
1961-02-13;4,2;0;28;23,96;19,8;92,75;89;,666667;
1961-02-14;,1;3;25,6;23,32;20,8;93,25;91;,333333;
1961-02-15;2,6;5,9;27,6;24,08;20,2;92,25;90;0;
1961-02-16;5,9;15;30;24,52;19,2;84;66;0;
1961-02-17;,4;2;27,9;23,74;20,6;95,75;88;0;
1961-02-18;3,7;11,2;31,2;24,3;20,9;89,5;68;,333333;
1961-02-19;2,4;27,1;28,6;24,04;20,6;89,75;84;,333333;
1961-02-20;2,8;9,9;28;23,76;20,2;88,5;75;1,333333;
1961-02-21;2,4;5,7;27,7;23,02;20,4;93;82;,333333;
1961-02-22;1,3;26,2;29,8;23,86;20,1;85,5;75;0;
1961-02-23;7;3,4;31,8;24,84;19,8;84,25;62;0;
1961-02-24;10,5;0;33,6;26,88;20;81;62;0;
1961-02-25;1;16;30;24,84;20,8;89,25;77;,333333;
1961-02-26;5,9;2,1;32;25,12;20,4;84,75;62;0;
1961-02-27;4;0;31,6;25,32;19,8;76;71;1;
1961-02-28;7,2;,2;32;24,08;19,4;87;68;,666667;
1961-03-01;8,4;9,1;31,6;25,82;20,1;82,25;63;,333333;
1961-03-02;8;0;32,7;26,1;21,2;80;63;1,333333;
1961-03-03;1,4;0;29,8;25,16;21,8;88;76;1;
1961-03-04;6,9;,1;34,4;26,2;20,1;78,5;59;,666667;
1961-03-05;6,4;0;32,6;26,14;21,1;82;67;1,333333;
1961-03-06;,4;1;27,8;25,54;22,5;88,5;84;1,666667;
1961-03-07;6,3;2,5;33,1;26,8;20,5;81,25;62;,666667;
1961-03-08;8,4;4,8;33,2;27,46;21,3;78,25;58;1,666667;
1961-03-09;8,1;0;34;27,38;21,7;78;56;1,666667;
1961-03-10;4,7;16,7;32,7;25,2;21,1;82;63;,333333;
1961-03-11;5,3;1,6;30,6;25,42;21,1;85,25;78;1,333333;
1961-03-12;3;,4;30,8;23,68;20;97,25;91;1,333333;
1961-03-13;7;53,5;30;23,8;18,8;87,75;73;2,333333;
1961-03-14;5,5;,1;29,6;24,28;20,4;89,5;76;2,333333;
1961-03-15;1,4;4,6;29,8;24,24;21;89;75;1;
1961-03-16;5,7;,9;31,2;25,82;20,9;82,25;65;,333333;
1961-03-17;6,7;0;31,8;24,3;20,3;91,5;84;1;
1961-03-18;5,8;8,5;31,2;24,46;20,3;90,75;80;1,666667;
1961-03-19;5,5;6,4;31,2;24,98;20,4;83,75;63;,666667;
