Nome: ITAPARICA
Codigo Estacao: 83227
Latitude: -12.88
Longitude: -38.68
Altitude: 31
Situacao: Desativada
Data Inicial: 1961-01-01
Data Final: 1971-12-30
Periodicidade da Medicao: Diaria

Data Medicao;INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
1961-01-01;null;null;30,6;26,42;24;81;68;6,666667;
1961-01-02;null;0;32;26,92;23,6;74,5;65;5;
1961-01-03;null;0;32,2;26,64;23;79;68;5,666667;
1961-01-04;null;0;32;26,56;23,8;82,5;65;6,666667;
1961-01-05;null;0;31,6;26,58;23,8;79,5;65;6;
1961-01-06;null;0;31,2;26,46;23,6;78;59;6,666667;
1961-01-07;null;0;31;26,88;23,4;76,75;65;6,666667;
1961-01-08;null;0;31,8;26,66;24;79,5;62;6,333333;
1961-01-09;null;0;30,8;26,96;24;76;62;6,666667;
1961-01-10;null;6,2;32;27,12;23,6;73,5;61;6,333333;
1961-01-11;null;0;31,6;26,7;23,4;78,5;62;6;
1961-01-12;null;0;31;27,3;24;76;65;5,333333;
1961-01-13;null;0;31,6;27,02;24;76,75;59;5;
1961-01-14;null;0;30,6;26,84;23,6;72,25;59;5,666667;
1961-01-15;null;0;30,2;26,26;23,6;80,5;61;2,333333;
1961-01-16;null;0;30,6;25,76;23,2;85,25;65;3,333333;
1961-01-17;null;1,4;30;26,22;23,6;80,25;61;4,666667;
1961-01-18;null;0;30,6;26,3;23,4;79,25;64;4,666667;
1961-01-19;null;0;30;26,24;23,2;74,5;61;4;
1961-01-20;null;0;31,6;27,02;23;76;62;4,333333;
1961-01-21;null;0;31;26,94;23,2;74,75;62;4;
1961-01-22;null;0;28,2;25,48;23,2;84,5;70;3,333333;
1961-01-23;null;19,2;29;25,9;23;84,5;74;2,333333;
1961-01-24;null;3;30;25,76;22,8;80,75;67;4;
1961-01-25;null;0;31;26,4;23;77,75;61;3;
1961-01-26;null;0;32;27,12;23,6;77,25;68;5,333333;
1961-01-27;null;0;31,8;26,86;24;79,25;65;3,666667;
1961-01-28;null;0;32;27,1;24;81;68;5,333333;
1961-01-29;null;0;31;27,2;24;75,5;65;5,333333;
1961-01-30;null;0;31,2;27,06;23,6;76,75;65;3;
1961-01-31;null;0;30;26,8;24;80;71;4,333333;
1961-02-01;null;4,7;30,4;26,42;23,2;77;67;3,333333;
1961-02-02;null;5;29,4;25,2;22,6;88,75;84;4,666667;
1961-02-03;null;0;31;26,5;23;77,75;71;2,666667;
1961-02-04;null;0;31,2;26,66;23,6;81;68;3,333333;
1961-02-05;null;0;30;26,28;23,4;82;71;3,333333;
1961-02-06;null;4,2;29;25,4;23;88,25;77;2;
1961-02-07;null;10,9;30;26,34;23,2;80,5;74;3,333333;
1961-02-08;null;0;31,2;27,04;24;75,5;65;3;
1961-02-09;null;0;30,8;26,54;23,4;81,25;65;3,666667;
1961-02-10;null;0;31;25,92;23,6;86,75;71;4,333333;
1961-02-11;null;0;31,6;26,98;23,8;79;71;3,333333;
1961-02-12;null;0;32;27;24;80,5;65;5,333333;
1961-02-13;null;0;32;27,3;24;78,25;65;4,666667;
